repo,tag,cor,cfor,pco
depends,v0.9.0,3.3629518072289155,1.0015060240963856,0.0015060240963855422
depends,v0.9.1,3.3151432469304227,1.0013642564802183,0.001364256480218281
depends,v0.9.1a,3.3246930422919507,1.0013642564802183,0.001364256480218281
depends,v0.9.2,3.3466666666666667,1.0013333333333334,0.0013333333333333333
depends,0.9.3,3.4153846153846152,1.0012820512820513,0.001282051282051282
depends,0.9.3a,3.4040660736975856,1.0012706480304956,0.0012706480304955528
depends,0.9.3c,3.554320987654321,1.0012345679012347,0.0012345679012345679
depends,0.9.3d,3.5471236230110157,1.0012239902080784,0.0012239902080783353
depends,0.9.4,3.578820697954272,1.0012033694344165,0.0012033694344163659
depends,0.9.5,3.5657741559953435,1.0011641443538999,0.0011641443538998836
depends,0.9.5a,3.570267131242741,1.0011614401858304,0.0011614401858304297
depends,0.9.5b,3.570267131242741,1.0011614401858304,0.0011614401858304297
depends,0.9.5c,3.5891203703703702,1.0011574074074074,0.0011574074074074073
depends,0.9.5f,3.6108545034642034,1.0011547344110854,0.0011547344110854503
depends,0.9.5g,3.6578341013824884,1.0011520737327189,0.001152073732718894
depends,0.9.5h,3.6674311926605503,1.0022935779816513,0.0022935779816513763
depends,0.9.6,3.656113537117904,1.002183406113537,0.002183406113537118
depends,0.9.6a,3.70873786407767,1.0032362459546926,0.003236245954692557
depends,0.9.6b,3.771213748657358,1.0032223415682062,0.00322234156820623
depends,0.9.6c,3.7865528281750267,1.0032017075773747,0.0032017075773745998
depends,0.9.6d,3.8036286019210244,1.0032017075773747,0.0032017075773745998
depends,0.9.6e,3.7664921465968586,1.0031413612565445,0.0031413612565445027
depends,0.9.6f,4.0,1.1501564129301356,0.05940890709239011
depends,0.9.7,4.175493250259605,1.1765316718587746,0.07006890199717879
depends,v0.9.7,4.18276220145379,1.1775700934579438,0.0703447382744106
avro,release-1.0.0,3.4773519163763065,1.048780487804878,0.032520325203252036
avro,release-1.1.0,3.7305555555555556,1.038888888888889,0.025925925925925925
avro,release-1.2.0,3.928,1.0693333333333332,0.05466666666666667
avro,release-1.3.0,3.3789954337899544,1.4025875190258752,0.1927932198971957
avro,release-1.3.1,3.4510250569476084,1.40167046317388,0.19254929536784451
avro,release-1.3.2,3.466012084592145,1.4003021148036254,0.19169252964335423
avro,release-1.3.3-rc1,3.5176824680210683,1.4108352144469527,0.20114646579470905
avro,release-1.3.3-rc0,2.8380010982976387,1.299835255354201,0.1661519188520185
avro,release-1.3.3,2.8380010982976387,1.299835255354201,0.1661519188520185
avro,release-1.4.0-rc1,3.620782726045884,1.4365721997300944,0.19372117180853782
avro,release-1.4.0-rc3,3.620782726045884,1.4365721997300944,0.19372117180853782
avro,release-1.4.0,3.6006644518272424,1.4299003322259136,0.1920218962743146
avro,release-1.4.1-rc0,3.609240924092409,1.4277227722772277,0.19139272397363366
avro,release-1.4.1,3.609240924092409,1.4277227722772277,0.19139272397363366
avro,release-1.5.0-rc0,3.130642361111111,1.50390625,0.2680270583365971
avro,release-1.5.0-rc1,3.127170138888889,1.50390625,0.2680270583365971
avro,release-1.5.0-rc2,3.131076388888889,1.5047743055555556,0.2681240637910283
avro,release-1.5.0-rc3,3.1371527777777777,1.5056423611111112,0.2682213526999842
avro,release-1.5.0,3.1371527777777777,1.5056423611111112,0.2682213526999842
avro,release-1.5.1,3.1667364893171346,1.4993715961457896,0.26382725351597075
avro,release-1.5.2-rc0,3.2058333333333335,1.5020833333333334,0.26423637629492974
avro,release-1.5.2-rc1,3.133277800916285,1.5010412328196585,0.26383297521320037
avro,release-1.5.2,3.133277800916285,1.5010412328196585,0.26383297521320037
avro,release-1.5.3,3.138589211618257,1.5,0.26334162437785136
avro,release-1.5.4-rc0,3.1451679800912484,1.4997926171712983,0.26327629119339235
avro,release-1.5.4,3.1451679800912484,1.4997926171712983,0.26327629119339235
avro,release-1.6.0-rc0,3.3027950310559007,1.6226708074534162,0.34068978090242835
avro,release-1.6.0-rc1,3.30861801242236,1.624223602484472,0.34049870403417287
avro,release-1.6.0,3.30861801242236,1.624223602484472,0.34049870403417287
avro,release-1.6.1-rc0,3.3277734678044997,1.6237393328161365,0.3403788526932701
avro,release-1.6.1,3.3277734678044997,1.6237393328161365,0.3403788526932701
avro,release-1.6.2-rc0,3.425105891413169,1.6322680015402387,0.3611732036563883
avro,release-1.6.2-rc1,3.4278013092029265,1.6322680015402387,0.3611732036563883
avro,release-1.6.2,3.4278013092029265,1.6322680015402387,0.3611732036563883
avro,release-1.6.3-rc0,3.444273635664873,1.6314373558800923,0.3607778613713016
avro,release-1.6.3,3.444273635664873,1.6314373558800923,0.3607778613713016
avro,release-1.7.0-rc0,3.465350223546945,1.6199701937406856,0.4022031491840501
avro,release-1.7.0-rc1,3.466294227188082,1.6197392923649907,0.4021537819607033
avro,release-1.7.0,3.466294227188082,1.6197392923649907,0.4021537819607033
avro,release-1.7.1-rc0,3.503345724907063,1.6197026022304832,0.4017912300805656
avro,release-1.7.1,3.503345724907063,1.6197026022304832,0.4017912300805656
avro,release-1.7.2-rc0,3.502906976744186,1.6104651162790697,0.4554056042441491
avro,release-1.7.2,3.502906976744186,1.6104651162790697,0.4554056042441491
avro,release-1.7.3-rc0,3.5273184759166067,1.609273903666427,0.4276641756323636
avro,release-1.7.3-rc1,3.529475197699497,1.6096333572969086,0.42784571459940934
avro,release-1.7.3-rc2,3.5309130122214234,1.6096333572969086,0.42784571459940934
avro,release-1.7.3,3.5309130122214234,1.6096333572969086,0.42784571459940934
avro,release-1.7.4-rc0,3.5564229950319377,1.6050390347764372,0.41531071853016244
avro,release-1.7.4-rc1,3.5557132718239886,1.6050390347764372,0.41531071853016244
avro,release-1.7.4-rc2,3.5564229950319377,1.6050390347764372,0.41531071853016244
avro,release-1.7.4,3.5564229950319377,1.6050390347764372,0.41531071853016244
avro,release-1.7.5-rc0,3.6122520013922728,1.6035502958579881,0.45526412666440796
avro,release-1.7.5,3.6122520013922728,1.6035502958579881,0.45526412666440796
avro,release-1.7.6-rc0,3.6034712950600802,1.5831108144192256,0.4506636336559358
avro,release-1.7.6,3.6034712950600802,1.5831108144192256,0.4506636336559358
avro,release-1.7.7-rc0,3.628693368351937,1.5791201575837164,0.48182305056078967
avro,release-1.7.7,3.628693368351937,1.5791201575837164,0.48182305056078967
avro,release-1.8.0-rc0,3.7208926261319535,1.6096377749029753,0.5156168113881369
avro,release-1.8.0-rc1,2.7898686679174483,1.41213258286429,0.45450779437370464
avro,release-1.8.0-rc2,3.72756105296543,1.6286076752299397,0.4908892570194135
avro,release-1.8.0-rc3,3.8269534957291995,1.725719708952863,0.5181126964060513
avro,release-1.8.0,3.8269534957291995,1.725719708952863,0.5181126964060513
